,Area,What is your age?,What is your gender?,"space for walking/cycling, restricting parking/closing streets near schools",Space in city centre for walking and/or cycling,"New signed ‘quiet connections’ for day to day cycling, with road closures to reduce traffic.",Most often,2nd most often,3rd most often,Most often.1,2nd most often.1,3rd most often.1,how many cars or vans (own or company cars/vans) are available to members of your household?
454,3,2,1,4.0,4.0,3.0,Walk,Taxi/Private hire car,Bus,Bus,Walk,Taxi/Private hire car,0.0
455,3,6,2,4.0,3.0,3.0,Walk,Bus,Tram,Bus,Walk,Tram,0.0
456,5,5,1,2.0,2.0,2.0,Bus,Walk,None,Bus,Tram,Walk,0.0
457,5,5,2,2.0,2.0,2.0,Walk,Cycle,Car,Walk,Bus,Cycle,2.0
458,2,6,2,4.0,4.0,1.0,Taxi/Private hire car,Car,Walk,Bus,Car,Taxi/Private hire car,1.0
459,3,4,1,3.0,4.0,4.0,Walk,Car,None,Bus,Walk,Car,1.0
460,4,2,2,5.0,5.0,5.0,Walk,Bus,Taxi/Private hire car,Walk,Bus,Taxi/Private hire car,0.0
461,4,3,1,5.0,5.0,5.0,Walk,Cycle,Bus,Walk,Bus,Cycle,0.0
462,2,1,1,3.0,2.0,2.0,Car,None,,Car,Bus,Walk,2.0
463,2,2,1,5.0,3.0,5.0,Walk,None,,Bus,Taxi/Private hire car,Walk,0.0
464,5,3,1,5.0,5.0,5.0,Walk,Bus,Walk,Walk,Bus,Walk,0.0
465,5,3,1,5.0,5.0,5.0,Walk,Bus,Walk,Walk,Bus,Walk,0.0
466,5,6,2,3.0,3.0,2.0,Car,Walk,Bus,Car,Walk,Bus,1.0
467,2,3,2,3.0,2.0,2.0,Car,None,,Car,None,,1.0
468,4,3,1,1.0,4.0,3.0,Walk,Bus,Car,Walk,Bus,Car,1.0
469,5,3,1,5.0,5.0,5.0,Walk,Bus,Walk,Walk,Bus,Car,0.0
470,5,2,1,5.0,5.0,5.0,Walk,Car,Taxi/Private hire car,Walk,Car,Bus,1.0
471,3,6,2,4.0,4.0,4.0,Car,Bus,Walk,Car,Bus,Tram,2.0
472,4,2,1,5.0,5.0,4.0,Walk,Bus,Cycle,Car,Walk,Cycle,1.0
473,2,2,2,5.0,3.0,3.0,Motorcycle,Car,Cycle,Walk,Motorcycle,Car,2.0
474,5,3,1,5.0,5.0,5.0,Walk,Car,Bus,Car,Walk,Bus,1.0
